Name,Shelter Number,Address,Area,Capacity,Operator,Unnamed: 6,Latitude,Longitude
Abu Tor,678,"3 Nachshon St., Jerusalem, Israel",Shelter - the most protected,40​,32,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Baka,681,"8 Efrayim St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",31.76080,35.21986
Baka,682 - Temporarily Inactive,"14 Reuven St., Jerusalem, Israel",,135,108,"Emergency and Security Division, Jerusalem Municipality",31.75926,35.21856
Baka,683,"54 Hebron Rd., Jerusalem, Israel",,170,136,"Emergency and Security Division, Jerusalem Municipality",31.76397,35.22534
Baka,684,"6 Esther HaMalka St., Jerusalem, Israel",,295,236,"Emergency and Security Division, Jerusalem Municipality",31.75871,35.22337
Baka,685 - Temporarily Inactive,"6 Mordechai HaYehudi St., Jerusalem, Israel",,200,160,"Emergency and Security Division, Jerusalem Municipality",31.75827,35.22229
Baka,823​ - Temporarily Inactive,"13 Shimshon St., Jerusalem, Israel",,130,104,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Baka,836,"27 Menashe St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Baka,980,"22 ​Rivka St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Baka,984,"11 Ya'el St., Jerusalem, Israel",,160,128,"Emergency and Security Division, Jerusalem Municipality",31.76157,35.22133
Baka,988​ - Temporarily Inactive,"5 Kibbutz Galuyot St., Jerusalem, Israel",,140,112,"Society Division, Jerusalem Municipality",31.79002,35.20262
Baka,995,"3 Levi St., Jerusalem, Israel",,100,80,Baka Community Administration,31.75791,35.21961
Bayit VeGan,742,"7 Sha'arei Tora St., Jerusalem, Israel",,270,216,"Emergency and Security Division, Jerusalem Municipality",31.76552,35.18291
Bayit VeGan,743,"39 Bayit VaGan St., Jerusalem, Israel",,115,92,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Beit HaKerem,744 - Temporarily Inactive,"Ha-Banai St 4, Jerusalem, Israel",,170,136,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Beit HaKerem,745 - Temporarily Inactive,"Ha-Banai St 30, Jerusalem, Israel",,170​,136,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Beit Yisrael,613,"14 Shimshon Polanski St., Jerusalem, Israel",Shelter,280,224,"""Yad Eliezer"" association",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Beit Yisrael,619 - Temporarily Inactive,"4 Yosef Karo St., Jerusalem, Israel",Shelter,80,64,"Emergency and Security Division, Jerusalem Municipality",31.79044,35.22455
Beit Yisrael,625,"22 Sha'arei Shamayim St., Jerusalem, Israel",Shelter,40,32,"Emergency and Security Division, Jerusalem Municipality",31.78928,35.22374
Beit Yisrael,626,"22 Baruch Rapaport St., Jerusalem, Israel",Shelter - the most protected,100,80,Eshkolot Community Administration,31.79002,35.20262
Beit Yisrael,628,"8 Amelim St., Jerusalem, Israel",Shelter - the most protected,40,32,"Public library - ""Mosdei Olam"" organization",31.78786,35.22384
Beit Yisrael,841,"25 Yoel St., Jerusalem, Israel",,100,80,"""Mosiyof"" synagogue",31.79106,35.22139
Beit Yisrael,908,"22 Shimshon Polanski St., Jerusalem, Israel",,100,80,Bucharim Community Administration,31.79189,35.22321
Bukharim,608,"44 Adoniyahu HaCohen St., Jerusalem, Israel",Shelter - the most protected,400,320,"Emergency and Security Division, Jerusalem Municipality",31.79361,35.21707
Bukharim,609,"Yisa Bracha St 23, Jerusalem, Israel",Shelter - the most protected,250,200,"Emergency and Security Division, Jerusalem Municipality",31.79234,35.21708
Bukharim,610,"10 Aharon Fishel St., Jerusalem, Israel",Shelter - the most protected,40,32,"""Poteah Shearim"" organization",31.79002,35.20262
Bukharim,611,"11 Ben Tsiyon Gol St., Jerusalem, Israel",Shelter - the most protected,150,120,"Emergency and Security Division, Jerusalem Municipality",31.78898,35.19524
Bukharim,620,"27 Yehezkhel St., Jerusalem, Israel",Shelter - the most protected,50,40,"""Kfar Yeladim David"" organization",31.79002,35.20262
Bukharim,910,"Ovadya St 22, Jerusalem, Israel",,100,80,"Karlin Hassidic community's ""Beit Bracha""",31.79162,35.21489
City Center,639,"2 Michel Pines St., Jerusalem, Israel",,250,200,"""Degel Yerushalayim""",31.79002,35.20262
City Center,652,"26 HaNevi'im St., Jerusalem, Israel",shelter,40,32,"""United Hatzalah"" organization, Jerusalem",31.78396,35.22376
City Center,932,"38 HaGilboa St., Jerusalem, Israel",,100,80,Lev Ha'Ir Community Administration,31.78301,35.21287
City Center,973,"5 HaRav Aviyada St., Jerusalem, Israel",,100,80,"Drama school, Youth Promotion Department, Education Division, Municipality of Jerusalem",31.79002,35.20262
City Center,974,"9 Shmuel Hanagid St., Jerusalem, Israel",,100,80,"Youth Promotion Department, Education Division, Jerusalem Municipality",31.79529,35.22016
City Center,985,"13 Strauss St., Jerusalem, Israel",,50,40,"""Helek MiMeni Bracha VeHesed"" organization (assistance to the needy)",31.79002,35.20262
Ein Karem,903,"82 Homat HaTzalafim St., Jerusalem, Israel",,120,96,"Artists' studio, Ein Kerem Community Center",31.79002,35.20262
Emek Refaim,672,"10 Ruth St., Jerusalem, Israel",,150,120,"Emergency and Security Division, Jerusalem Municipality",31.76443,35.21712
Emek Refaim,670,"9 Bostanai St., Jerusalem, Israel",Shelter,140,112,"Emergency and Security Division, Jerusalem Municipality",31.76545,35.21291
Emek Refaim,673,"3 Malal St., Jerusalem, Israel",Shelter,114,91,"Emergency and Security Division, Jerusalem Municipality",31.76403,35.21801
Emek Refaim,674,"7 Bachar St., Jerusalem, Israel",,150,120,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Emek Refaim,676,"6 Emile Zola St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",31.76466,35.22081
Emek Refaim,677,"6 Wyndham Deedes St., Jerusalem, Israel",,290,232,"Emergency and Security Division, Jerusalem Municipality",31.76361,35.22106
Emek Refaim,692,"60 Emek Refaim St., Jerusalem, Israel",Shelter,250,200,"Emergency and Security Division, Jerusalem Municipality",31.76166,35.21726
Emek Refaim,693,"9 Yotam St., Jerusalem, Israel",,170,136,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Emek Refaim,697,"27 Yehoshua Bin Nun St., Jerusalem, Israel",,160,128,"Emergency and Security Division, Jerusalem Municipality",31.76018,35.21360
Emek Refaim,804,"8 HaMelits St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",31.76470,35.21961
French Hill,998,"6 Aba Berdichev St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
German Colony,694,"1 Amatsiya St., Jerusalem, Israel",Shelter - the most protected,200,160,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
German Colony,695,"2 Amatsiya St., Jerusalem, Israel",,250,200,Chabad synagogue,31.79002,35.20262
Geula,614,"16 Shlomo Musayof St., Jerusalem, Israel",Shelter - the most protected,40,32,"""Hesdei Yehezkel VeMiriam"" volunteer center",31.79193,35.22146
Geula,621,"8 Hoshe'a St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",31.78958,35.21890
Geula,623,"14 Zechariah HaRofeh St., Jerusalem, Israel",Shelter - the most protected,40,32,"MeTeiman Yavo"" yeshiva",Throttled! See geocode.xyz/pricing,Throttled! See geocode.xyz/pricing
Geula,635,"15 Avodat Yisrael St., Jerusalem, Israel",,,32,"Emergency and Security Division, Jerusalem Municipality",31.79002,35.20262
Geula,637,"18 Nahman MiBreslev St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality",31.78771,35.21888
Geula,830,"25 Tsfanya St., Jerusalem, Israel",,100,80,Bucharim Community Administration,31.79119,35.21734
Geula,904,"7 HaZayit St., Jerusalem, Israel",,125,100,"Sanitation Division, Jerusalem Municipality",31.78991,35.21091
