Address,Shelter Number,Protection Level,Area,Capacity,Operator
3 Nachshon St.,678,Highest,40​,32,"Emergency and Security Division, Jerusalem Municipality"
8 Efrayim St.,681,,100,80,"Emergency and Security Division, Jerusalem Municipality"
14 Reuven St.,682 - Temporarily Inactive,,135,108,"Emergency and Security Division, Jerusalem Municipality"
54 Hebron Rd.,683,,170,136,"Emergency and Security Division, Jerusalem Municipality"
6 Esther HaMalka St.,684,,295,236,"Emergency and Security Division, Jerusalem Municipality"
6 Mordechai HaYehudi St.,685 - Temporarily Inactive,,200,160,"Emergency and Security Division, Jerusalem Municipality"
13 Shimshon St.,823​ - Temporarily Inactive,,130,104,"Emergency and Security Division, Jerusalem Municipality"
27 Menashe St.,836,,100,80,"Emergency and Security Division, Jerusalem Municipality"
22 ​Rivka St.,980,,100,80,"Emergency and Security Division, Jerusalem Municipality"
11 Ya'el St.,984,,160,128,"Emergency and Security Division, Jerusalem Municipality"
5 Kibbutz Galuyot St.,988​ - Temporarily Inactive,,140,112,"Society Division, Jerusalem Municipality"
3 Levi St.,995,,100,80,Baka Community Administration
7 Sha'arei Tora St.,742,,270,216,"Emergency and Security Division, Jerusalem Municipality"
39 Bayit VaGan St.,743,,115,92,"Emergency and Security Division, Jerusalem Municipality"
Ha-Banai St 4,744 - Temporarily Inactive,,170,136,"Emergency and Security Division, Jerusalem Municipality"
Ha-Banai St 30,745 - Temporarily Inactive,,170​,136,"Emergency and Security Division, Jerusalem Municipality"
14 Shimshon Polanski St.,613,Normal,280,224,"""Yad Eliezer"" association"
4 Yosef Karo St.,619 - Temporarily Inactive,Normal,80,64,"Emergency and Security Division, Jerusalem Municipality"
22 Sha'arei Shamayim St.,625,Normal,40,32,"Emergency and Security Division, Jerusalem Municipality"
22 Baruch Rapaport St.,626,Highest,100,80,Eshkolot Community Administration
8 Amelim St.,628,Highest,40,32,"Public library - ""Mosdei Olam"" organization"
25 Yoel St.,841,,100,80,"""Mosiyof"" synagogue"
22 Shimshon Polanski St.,908,,100,80,Bucharim Community Administration
44 Adoniyahu HaCohen St.,608,Highest,400,320,"Emergency and Security Division, Jerusalem Municipality"
Yisa Bracha St 23,609,Highest,250,200,"Emergency and Security Division, Jerusalem Municipality"
10 Aharon Fishel St.,610,Highest,40,32,"""Poteah Shearim"" organization"
11 Ben Tsiyon Gol St.,611,Highest,150,120,"Emergency and Security Division, Jerusalem Municipality"
27 Yehezkhel St.,620,Highest,50,40,"""Kfar Yeladim David"" organization"
Ovadya St 22,910,,100,80,"Karlin Hassidic community's ""Beit Bracha"""
2 Michel Pines St.,639,,250,200,"""Degel Yerushalayim"""
26 HaNevi'im St.,652,,40,32,"""United Hatzalah"" organization, Jerusalem"
38 HaGilboa St.,932,,100,80,Lev Ha'Ir Community Administration
5 HaRav Aviyada St.,973,,100,80,"Drama school, Youth Promotion Department, Education Division, Municipality of Jerusalem"
9 Shmuel Hanagid St.,974,,100,80,"Youth Promotion Department, Education Division, Jerusalem Municipality"
13 Strauss St.,985,,50,40,"""Helek MiMeni Bracha VeHesed"" organization (assistance to the needy)"
82 Homat HaTzalafim St.,903,,120,96,"Artists' studio, Ein Kerem Community Center"
10 Ruth St.,672,,150,120,"Emergency and Security Division, Jerusalem Municipality"
9 Bostanai St.,670,,140,112,"Emergency and Security Division, Jerusalem Municipality"
3 Malal St.,673,,114,91,"Emergency and Security Division, Jerusalem Municipality"
7 Bachar St.,674,,150,120,"Emergency and Security Division, Jerusalem Municipality"
6 Emile Zola St.,676,,100,80,"Emergency and Security Division, Jerusalem Municipality"
6 Wyndham Deedes St.,677,,290,232,"Emergency and Security Division, Jerusalem Municipality"
60 Emek Refaim St.,692,,250,200,"Emergency and Security Division, Jerusalem Municipality"
9 Yotam St.,693,,170,136,"Emergency and Security Division, Jerusalem Municipality"
27 Yehoshua Bin Nun St.,697,,160,128,"Emergency and Security Division, Jerusalem Municipality"
8 HaMelits St.,804,,100,80,"Emergency and Security Division, Jerusalem Municipality"
6 Aba Berdichev St.,998,,100,80,"Emergency and Security Division, Jerusalem Municipality"
