Name,Shelter Number,Address,Area,Capacity,Operator,
Abu Tor,678,"3 Nachshon St., Jerusalem, Israel",Shelter - the most protected,40​,32,"Emergency and Security Division, Jerusalem Municipality"
Baka,681,"8 Efrayim St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality"
Baka,682 - Temporarily Inactive,"14 Reuven St., Jerusalem, Israel",,135,108,"Emergency and Security Division, Jerusalem Municipality"
Baka,683,"54 Hebron Rd., Jerusalem, Israel",,170,136,"Emergency and Security Division, Jerusalem Municipality"
Baka,684,"6 Esther HaMalka St., Jerusalem, Israel",,295,236,"Emergency and Security Division, Jerusalem Municipality"
Baka,685 - Temporarily Inactive,"6 Mordechai HaYehudi St., Jerusalem, Israel",,200,160,"Emergency and Security Division, Jerusalem Municipality"
Baka,823​ - Temporarily Inactive,"13 Shimshon St., Jerusalem, Israel",,130,104,"Emergency and Security Division, Jerusalem Municipality"
Baka,836,"27 Menashe St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality"
Baka,980,"22 ​Rivka St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality"
Baka,984,"11 Ya'el St., Jerusalem, Israel",,160,128,"Emergency and Security Division, Jerusalem Municipality"
Baka,988​ - Temporarily Inactive,"5 Kibbutz Galuyot St., Jerusalem, Israel",,140,112,"Society Division, Jerusalem Municipality"
Baka,995,"3 Levi St., Jerusalem, Israel",,100,80,Baka Community Administration
Bayit VeGan,742,"7 Sha'arei Tora St., Jerusalem, Israel",,270,216,"Emergency and Security Division, Jerusalem Municipality"
Bayit VeGan,743,"39 Bayit VaGan St., Jerusalem, Israel",,115,92,"Emergency and Security Division, Jerusalem Municipality"
Beit HaKerem,744 - Temporarily Inactive,"Ha-Banai St 4, Jerusalem, Israel",,170,136,"Emergency and Security Division, Jerusalem Municipality"
Beit HaKerem,745 - Temporarily Inactive,"Ha-Banai St 30, Jerusalem, Israel",,170​,136,"Emergency and Security Division, Jerusalem Municipality"
Beit Yisrael,613,"14 Shimshon Polanski St., Jerusalem, Israel",Shelter,280,224,"""Yad Eliezer"" association"
Beit Yisrael,619 - Temporarily Inactive,"4 Yosef Karo St., Jerusalem, Israel",Shelter,80,64,"Emergency and Security Division, Jerusalem Municipality"
Beit Yisrael,625,"22 Sha'arei Shamayim St., Jerusalem, Israel",Shelter,40,32,"Emergency and Security Division, Jerusalem Municipality"
Beit Yisrael,626,"22 Baruch Rapaport St., Jerusalem, Israel",Shelter - the most protected,100,80,Eshkolot Community Administration
Beit Yisrael,628,"8 Amelim St., Jerusalem, Israel",Shelter - the most protected,40,32,"Public library - ""Mosdei Olam"" organization"
Beit Yisrael,841,"25 Yoel St., Jerusalem, Israel",,100,80,"""Mosiyof"" synagogue"
Beit Yisrael,908,"22 Shimshon Polanski St., Jerusalem, Israel",,100,80,Bucharim Community Administration
Bukharim,608,"44 Adoniyahu HaCohen St., Jerusalem, Israel",Shelter - the most protected,400,320,"Emergency and Security Division, Jerusalem Municipality"
Bukharim,609,"Yisa Bracha St 23, Jerusalem, Israel",Shelter - the most protected,250,200,"Emergency and Security Division, Jerusalem Municipality"
Bukharim,610,"10 Aharon Fishel St., Jerusalem, Israel",Shelter - the most protected,40,32,"""Poteah Shearim"" organization"
Bukharim,611,"11 Ben Tsiyon Gol St., Jerusalem, Israel",Shelter - the most protected,150,120,"Emergency and Security Division, Jerusalem Municipality"
Bukharim,620,"27 Yehezkhel St., Jerusalem, Israel",Shelter - the most protected,50,40,"""Kfar Yeladim David"" organization"
Bukharim,910,"Ovadya St 22, Jerusalem, Israel",,100,80,"Karlin Hassidic community's ""Beit Bracha"""
City Center,639,"2 Michel Pines St., Jerusalem, Israel",,250,200,"""Degel Yerushalayim"""
City Center,652,"26 HaNevi'im St., Jerusalem, Israel",shelter,40,32,"""United Hatzalah"" organization, Jerusalem"
City Center,932,"38 HaGilboa St., Jerusalem, Israel",,100,80,Lev Ha'Ir Community Administration
City Center,973,"5 HaRav Aviyada St., Jerusalem, Israel",,100,80,"Drama school, Youth Promotion Department, Education Division, Municipality of Jerusalem"
City Center,974,"9 Shmuel Hanagid St., Jerusalem, Israel",,100,80,"Youth Promotion Department, Education Division, Jerusalem Municipality"
City Center,985,"13 Strauss St., Jerusalem, Israel",,50,40,"""Helek MiMeni Bracha VeHesed"" organization (assistance to the needy)"
Ein Karem,903,"82 Homat HaTzalafim St., Jerusalem, Israel",,120,96,"Artists' studio, Ein Kerem Community Center"
Emek Refaim,672,"10 Ruth St., Jerusalem, Israel",,150,120,"Emergency and Security Division, Jerusalem Municipality"
Emek Refaim,670,"9 Bostanai St., Jerusalem, Israel",Shelter,140,112,"Emergency and Security Division, Jerusalem Municipality"
Emek Refaim,673,"3 Malal St., Jerusalem, Israel",Shelter,114,91,"Emergency and Security Division, Jerusalem Municipality"
Emek Refaim,674,"7 Bachar St., Jerusalem, Israel",,150,120,"Emergency and Security Division, Jerusalem Municipality"
Emek Refaim,676,"6 Emile Zola St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality"
Emek Refaim,677,"6 Wyndham Deedes St., Jerusalem, Israel",,290,232,"Emergency and Security Division, Jerusalem Municipality"
Emek Refaim,692,"60 Emek Refaim St., Jerusalem, Israel",Shelter,250,200,"Emergency and Security Division, Jerusalem Municipality"
Emek Refaim,693,"9 Yotam St., Jerusalem, Israel",,170,136,"Emergency and Security Division, Jerusalem Municipality"
Emek Refaim,697,"27 Yehoshua Bin Nun St., Jerusalem, Israel",,160,128,"Emergency and Security Division, Jerusalem Municipality"
Emek Refaim,804,"8 HaMelits St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality"
French Hill,998,"6 Aba Berdichev St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality"
German Colony,694,"1 Amatsiya St., Jerusalem, Israel",Shelter - the most protected,200,160,"Emergency and Security Division, Jerusalem Municipality"
German Colony,695,"2 Amatsiya St., Jerusalem, Israel",,250,200,Chabad synagogue
Geula,614,"16 Shlomo Musayof St., Jerusalem, Israel",Shelter - the most protected,40,32,"""Hesdei Yehezkel VeMiriam"" volunteer center"
Geula,621,"8 Hoshe'a St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality"
Geula,623,"14 Zechariah HaRofeh St., Jerusalem, Israel",Shelter - the most protected,40,32,"MeTeiman Yavo"" yeshiva"
Geula,635,"15 Avodat Yisrael St., Jerusalem, Israel",,,32,"Emergency and Security Division, Jerusalem Municipality"
Geula,637,"18 Nahman MiBreslev St., Jerusalem, Israel",,100,80,"Emergency and Security Division, Jerusalem Municipality"
Geula,830,"25 Tsfanya St., Jerusalem, Israel",,100,80,Bucharim Community Administration
Geula,904,"7 HaZayit St., Jerusalem, Israel",,125,100,"Sanitation Division, Jerusalem Municipality"
Giv'at Havradim (Rassco),715,"52 David Shimoni St., Jerusalem, Israel",,180,144,"Emergency and Security Division, Jerusalem Municipality"
Giv'at HaVradim (Rassco),949,"33 HaTayasim St., Jerusalem, Israel",,100,80,Ginot Ha'Ir Community Administration
Givat Shaul,808,"27 Yisrael Najara St., Jerusalem, Israel",,100,80,Meitarim Community Administration
Gonenim,700,"15 David Shimoni St., Jerusalem, Israel",Shelter - the most protected,85,67,"Emergency and Security Division, Jerusalem Municipality"
Ir Ganim,726,"123 HaNurit St., Jerusalem, Israel",,350,280,"Emergency and Security Division, Jerusalem Municipality"
Ir Ganim,727,"104 HaNurit St., Jerusalem, Israel",,120,148,"Emergency and Security Division, Jerusalem Municipality"
Ir Ganim,728 - Temporarily Inactive,"102 HaNurit St., Jerusalem, Israel",,183,148,"Emergency and Security Division, Jerusalem Municipality"
Ir Ganim,829,"9 HaRakefet St., Jerusalem, Israel",,100,32,"""Chai Tayeb"" synagogue"
