שם השכונה,מספר מקלט,כתובת,שטח,סוג,מס' נפשות,שייכות,שכונה,מנהל
אבו-טור,מקלט ציבורי מס' - 678,נחשון 3,,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
בוכרים,מקלט ציבורי מס' - 608,אדניהו הכהן 44,400,מחסה - הכי מוגן שיש,320,"עיריית ירושלים, אגף חירום וביטחון",,
בוכרים,מקלט ציבורי מס' - 609,ישא ברכה 23,250,מקלט,200,"עיריית ירושלים, אגף חירום וביטחון",,
בוכרים,מקלט ציבורי מס' - 610,פישל אהרן 10,40,מחסה - הכי מוגן שיש,32,"עמותת ""פותח שערים""-מרכז למידה",,
בוכרים,מקלט ציבורי מס' - 611,בן ציון גול 11,150,מחסה - הכי מוגן שיש,120,"עיריית ירושלים, אגף חירום וביטחון",,
בוכרים,מקלט ציבורי מס' - 620,יחזקאל 27,50,מחסה - הכי מוגן שיש,40,"עמותת ""כפר ילדים דוד""",,
בוכרים,מקלט ציבורי מס' - 910,עובדיה 22,100,מקלט,80,בית ברכה - שייך לחסידות קרלין,,
בית הכרם,מקלט ציבורי מס' - 744 - לא פעיל זמנית,הבנאי 4,170,מקלט,136,"עיריית ירושלים, אגף חירום וביטחון",,
בית הכרם,מקלט ציבורי מס' - 745 - לא פעיל זמנית,הבנאי 30,170​,מקלט,136,"עיריית ירושלים, אגף חירום וביטחון",,
בית וגן,מקלט ציבורי מס' - 742,שערי תורה 7,270,מקלט,216,"עיריית ירושלים, אגף חירום וביטחון",,
בית וגן,מקלט ציבורי מס' - 743,בית וגן 39,115​,מקלט,92,"עיריית ירושלים, אגף חירום וביטחון",,
בית ישראל,​מקלט ציבורי מס' - 908,שמשון פולנסקי 22,100,מקלט,80,מינהל קהילתי בוכרים,,
בית ישראל,מקלט ציבורי מס' - 613,שמשון פולנסקי 14,280,מחסה - הכי מוגן שיש,224,אגודת יד אליעזר,,
בית ישראל,מקלט ציבורי מס' - 619 - לא פעיל זמנית,קארו יוסף 4,80,מחסה - הכי מוגן שיש,64,"עיריית ירושלים, אגף חירום וביטחון",,
בית ישראל,מקלט ציבורי מס' - 625,שערי שמים 22,40​,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
בית ישראל,מקלט ציבורי מס' - 626,ברוך רפפורט 22,100​,מחסה - הכי מוגן שיש,80,מינהל קהילתי אשכולות,,
בית ישראל,מקלט ציבורי מס' - 628,עמלים 8,40​,מחסה - הכי מוגן שיש,32,"סיפרייה ציבורית - עמותת ""מוסדי עולם""",,
בית ישראל,מקלט ציבורי מס' - 841,יואל 25,100​,מקלט,80,בית כנסת מוסיוף,,
בקעה,​מקלט ציבורי מס' - 984,​יעל 11,160,מקלט,128,"עיריית ירושלים, אגף תרבות, בית יעל",,
בקעה,​מקלט ציבורי מס' - 980,​רבקה 22,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
בקעה,מקלט ציבורי מס' - ​995,​לוי 3,100,מקלט,80,מינהל קהילתי בקעה,,
בקעה,מקלט ציבורי מס' - 682,ראובן 14,​135,מקלט,108,"עיריית ירושלים, אגף חירום וביטחון",,
בקעה,מקלט ציבורי מס' - 683,דרך חברון 54,170,מקלט,136,"עיריית ירושלים, אגף חירום וביטחון",,
בקעה,מקלט ציבורי מס' - 684,אסתר המלכה 6,​295,מקלט,236,"עיריית ירושלים, אגף חירום וביטחון",,
בקעה,מקלט ציבורי מס' - 685 - לא פעיל זמנית,מרדכי היהודי 6,200,מקלט,160,"עיריית ירושלים, אגף חירום וביטחון",,
בקעה,מקלט ציבורי מס' - 823 - לא פעיל זמנית​,​שמשון 13,130,מקלט,104,"עיריית ירושלים, אגף חירום וביטחון",,
בקעה,מקלט ציבורי מס' - 836,​מנשה 27,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
בקעה,מקלט ציבורי מס' - 988 - לא פעיל זמנית,​קיבוץ גלויות 5,140,מקלט,112,עיריית ירושלים - אגף חברה,,
בקעה,מקלט ציבורי מס' - 681,אפרים 8,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
גאולה,מקלט ציבורי מס' - ​621,הושע 8,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
גאולה,מקלט ציבורי מס' - 635,עבודת ישראל 15,,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
גאולה,מקלט ציבורי מס' - 637,נחמן מברלסב 18,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
גאולה,מקלט ציבורי מס' - 830,צפניה 25,100,מקלט,80,מינהל קהילתי בוכרים,,
גאולה,מקלט ציבורי מס' - 904,הזית 7,125,מקלט,100,עיריית ירושלים - אגף התברואה,,
גאולה,מקלט ציבורי מס' - 614,שלמה מוסיוף 16,40,מחסה - הכי מוגן שיש,32,"מוקד מתנדבים ""חסדי יחזקאל ומרים""",,
גאולה,מקלט ציבורי מס' - 623,זכריה הרופא 14,40​,מחסה - הכי מוגן שיש,32,"ישיבת ""מתימן יבוא""",,
גבעת הורדים (רסקו),מקלט ציבורי מס' - 715,דוד שמעוני 52,180,מקלט,144,"עיריית ירושלים, אגף חירום וביטחון",,
גבעת הורדים (רסקו),מקלט ציבורי מס' - 949,הטייסים 33,100,מקלט,80,מינהל קהילתי גינות העיר,,
גבעת שאול,מקלט ציבורי מס' - 808,נג'ארה ישראל 27,100,מקלט,80,מינהל קהילתי מיתרים,,
גוננים,מקלט ציבורי מס' - 700,דוד שמעוני 15,84,מחסה - הכי מוגן שיש,67,"עיריית ירושלים, אגף חירום וביטחון",,
הגבעה הצרפתית,מקלט ציבורי מס' - 998,אבא ברדיצב 6,100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
המושבה הגרמנית,מקלט ציבורי מס' - 694 - לא פעיל זמנית,אמציה 1,200,מחסה - הכי מוגן שיש,160,"עיריית ירושלים, אגף חירום וביטחון",,
המושבה הגרמנית,מקלט ציבורי מס' - 695,אמציה 2,250,מקלט,200,"בית כנסת חב""ד",,
זכרון משה,מקלט ציבורי מס' - 928,פרי חדש 8,130,מקלט,104,"עמותת ""אור לאה""",,
טלביה,מקלט ציבורי מס' - 656,קרן היסוד 19,250,מחסה - הכי מוגן שיש,200,"עיריית ירושלים, אגף חירום וביטחון",,
טלביה,מקלט ציבורי מס' - 807,דישראלי בנימין 7,115,מקלט,92,"עיריית ירושלים, אגף חירום וביטחון",,
גאולה,מקלט ציבורי מס' - 624 - לא פעיל זמנית,לפידות 17,40,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
מאה שערים,מקלט ציבורי מס' - 632,מאה שערים 87,80,מקלט,64,"עיריית ירושלים, אגף חירום וביטחון",,
מאה שערים,מקלט ציבורי מס' - 826,אוצר הספרים 6,150,מקלט,120,"ישיבת ""מורשת הנחל""",,
מורשה,מקלט ציבורי מס' - 653,משמרות 3,40,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
מורשה,מקלט ציבורי מס' - 751,"הע""ח 10",100,מקלט,80,בית ספר לצילום מוסררה,,
מורשה,מקלט ציבורי מס' - 752,"הע""ח 21",100,מקלט,80,בית ספר לצילום מוסררה,,
מורשה,מקלט ציבורי מס' - 753,חיל הנדסה 16,100,מקלט,80,מינהל קהילתי אשכולות,,
מחנה יהודה,מקלט ציבורי מס' - 646,מני אליהו 4,40,מחסה - הכי מוגן שיש,32,"עיריית ירושלים, אגף חירום וביטחון",,
מחנה יהודה,מקלט ציבורי מס' - 648,נהר פרת 15,236,מקלט,188,"עיריית ירושלים, אגף חירום וביטחון",,
מחנה יהודה,מקלט ציבורי מס' - 821,עיניים למשפט 24,120,מקלט,96,מינהל קהילתי לב העיר,,
מחנה יהודה,מקלט ציבורי מס' - 935,באר שבע 28,170,מקלט,136,בית כנסת קהילתי,,
מחנה יהודה,מקלט ציבורי מס' - 961,אבן ספיר 17,100,מקלט,80,"תנועת הנוער ""אריאל""",,
מנחת-מלחה,מקלט ציבורי מס' - 813,קדושי סטרומה 7,120,מקלט,96,עיריית ירושלים - החט' לקידום נוער (קבוצת הגנה עצמית+להקה כורדית),,
מקור ברוך,מקלט ציבורי מס' - 641,כפר נחום 25,180,מקלט,144,"עמותת ""המאור נתיב קודש""",,
מקור ברוך,מקלט ציבורי מס' - 643,מלכי ישראל 73,400,מקלט,320,"עיריית ירושלים, אגף חירום וביטחון",,
מקור ברוך,מקלט ציבורי מס' - 806 - לא פעיל זמנית,גשר החיים 12,190,מקלט,152,"עיריית ירושלים, אגף חירום וביטחון",,
מקור ברוך,מקלט ציבורי מס' - 812,"רש""י 109",110,מקלט,88,"עיריית ירושלים, אגף חירום וביטחון",,
מקור ברוך,מקלט ציבורי מס' - 839,"תשב""ץ 14",100,מקלט,80,"עיריית ירושלים, אגף חירום וביטחון",,
